POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA6308,0,0,0,16,0,0,0,0,0,0,0,0,0,3,19,20,4,0,0,0,0,0,0,0,0,3,4,10,52,12,4,26,3,24,4,12,5,71,26,234
POA6309,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,6,0,0,0,18,3,43
POA6311,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,13,4,10,0,9,0,23,10,84
POA6312,0,0,0,21,0,0,0,0,0,0,0,0,0,3,26,37,3,0,0,0,0,0,0,0,0,4,3,16,88,29,11,71,12,52,0,25,11,145,37,471
POA6313,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,6,0,0,0,9,0,44
POA6315,0,0,0,11,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,0,0,0,0,0,3,3,8,49,13,7,42,4,15,3,21,3,88,27,271
POA6316,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,4,0,3,0,0,0,6,3,41
POA6317,0,5,0,12,5,0,0,0,0,0,0,0,0,3,20,34,0,0,0,0,0,0,0,0,0,3,3,8,108,21,4,69,6,39,7,24,7,130,26,438
POA6318,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,11,0,3,0,3,0,10,4,52
POA6320,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,22,3,3,8,3,0,0,5,0,19,6,65
POA6321,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,9,0,7,0,6,0,19,6,62
POA6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,4,0,7,0,7,0,14,0,43
POA6323,0,0,0,3,0,0,0,0,0,0,0,3,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,20,4,3,23,0,11,4,20,3,71,10,165
POA6324,0,0,0,11,0,4,0,0,0,3,0,0,0,5,29,36,0,0,0,3,0,0,0,0,0,3,3,9,67,32,0,63,3,47,5,35,14,135,35,429
POA6326,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,11,0,3,3,3,0,19,9,61
POA6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,10,0,3,0,3,0,11,0,42
