POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6503,5,23,20,23,21,56,27,96,4,271,4,10,5,8,4,6,7,19,0,61,7,11,7,16,8,30,14,48,3,144,3,4,11,6,3,16,5,3,3,53,3,22,10,18,10,19,4,10,0,99,4,12,9,9,5,14,0,3,0,54,3,8,6,13,12,19,3,39,0,103,9,24,28,25,27,58,20,32,5,230,3,0,0,3,0,0,0,0,6,18,41,112,99,113,97,207,84,253,27,1037
POA6504,0,3,4,3,3,0,3,3,0,21,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,3,0,13,0,5,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,16,9,10,11,10,6,14,0,74
POA6505,0,3,4,3,0,14,3,13,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,6,7,9,3,16,9,23,3,70
POA6506,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,15,0,33
POA6507,0,11,8,4,3,14,10,64,3,123,3,3,4,3,3,3,0,4,0,27,0,3,0,0,0,7,6,9,3,31,0,0,0,4,0,0,0,0,0,10,0,3,3,3,4,3,0,9,0,35,0,0,4,0,0,0,0,3,0,12,0,0,4,0,6,5,5,18,0,31,0,3,6,0,3,9,3,20,0,53,0,3,0,0,0,0,0,0,0,4,5,23,28,21,17,41,37,133,3,311
POA6509,5,0,3,0,3,3,7,19,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,6,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,10,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,10,7,13,12,10,31,0,87
POA6510,6,8,15,7,12,29,14,78,7,178,0,10,9,8,17,23,9,15,0,83,4,11,3,11,18,37,20,27,6,140,3,9,11,18,16,16,7,5,3,85,6,22,20,16,17,21,7,4,0,111,6,12,8,8,8,17,7,13,6,83,9,3,3,0,9,19,16,31,0,90,3,18,7,13,9,39,10,23,0,126,0,0,0,0,0,0,0,0,0,7,40,93,69,87,103,199,85,202,22,898
POA6511,0,0,0,0,0,3,8,19,0,29,0,3,5,3,5,0,0,3,0,22,3,0,0,3,3,7,3,5,0,21,0,3,4,0,3,3,0,0,0,19,0,5,3,9,7,9,0,0,0,34,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,7,8,0,16,4,3,16,5,9,12,5,10,0,61,4,0,0,0,0,0,0,0,0,10,21,21,32,18,24,36,22,44,4,213
POA6512,0,0,0,3,0,3,0,18,0,29,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,5,9,3,3,3,5,25,0,58
POA6513,5,5,0,0,0,0,3,30,0,61,0,0,0,3,0,0,3,0,0,9,0,0,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,8,0,17,0,0,3,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,3,12,7,9,9,12,9,45,0,112
POA6514,3,3,0,0,0,3,6,11,0,24,0,0,0,3,3,0,0,0,0,16,0,3,4,0,5,3,3,12,0,31,0,3,0,5,0,3,0,0,0,16,0,8,3,6,0,3,0,3,0,23,3,0,0,0,0,0,0,3,0,10,0,0,3,0,3,5,4,10,0,24,0,15,8,8,3,0,0,12,0,38,0,0,0,0,0,0,0,0,3,3,12,31,17,23,15,21,10,52,3,184
POA6515,4,0,3,3,3,12,3,46,0,75,0,0,0,0,0,3,0,3,0,9,0,0,0,3,3,5,0,6,0,14,0,0,0,3,3,0,0,0,0,9,0,0,3,5,0,3,0,3,0,19,0,3,0,0,0,0,0,0,0,7,0,4,0,0,0,3,10,8,0,22,0,0,0,6,0,5,4,3,0,20,0,0,0,0,0,0,0,3,0,3,3,11,11,13,10,35,19,71,0,176
POA6516,3,10,8,5,13,22,13,30,0,99,5,9,7,5,10,12,7,13,0,68,8,4,10,9,16,26,20,36,7,137,8,13,12,14,3,7,0,5,0,64,0,14,12,13,15,10,12,0,0,84,0,13,11,5,5,3,8,6,0,55,11,4,5,0,3,3,0,34,6,58,4,30,22,10,9,6,0,18,0,111,3,0,0,0,0,0,0,0,5,7,44,98,76,71,78,95,64,134,16,675
POA6517,0,0,0,3,3,3,8,34,0,52,4,3,0,0,6,3,0,9,0,21,0,0,3,0,9,5,0,8,0,35,0,0,0,0,0,3,0,0,0,10,0,4,3,6,4,3,4,0,0,24,0,0,0,0,0,5,4,0,0,13,0,0,3,0,5,6,4,10,0,29,0,0,0,3,0,8,3,9,0,24,0,0,0,0,0,0,0,0,0,0,9,11,14,19,24,37,19,69,0,197
POA6518,3,3,0,0,0,3,3,34,3,45,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,8,0,19,0,5,0,0,0,0,0,0,0,3,3,7,9,3,3,11,12,51,3,101
POA6519,0,9,3,3,3,9,8,49,3,84,0,0,0,0,3,4,3,3,0,22,5,4,0,0,5,3,4,4,3,30,0,3,5,9,0,12,0,3,0,34,0,3,3,3,0,3,0,3,0,13,0,0,0,0,3,3,3,4,0,12,0,0,0,0,0,5,10,9,0,29,0,4,0,0,4,8,7,9,0,30,0,0,0,0,0,0,0,0,0,3,9,25,15,17,26,49,35,84,9,264
POA6521,6,5,3,5,0,9,9,70,0,111,0,0,0,3,3,3,0,3,0,12,0,0,3,3,0,4,3,7,0,24,0,0,0,3,0,0,0,0,0,9,0,0,0,4,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,4,10,0,19,0,12,5,0,0,3,3,12,0,40,0,0,0,0,0,0,0,0,0,0,10,25,13,23,11,30,23,105,0,235
POA6522,0,8,3,6,7,9,3,54,3,96,3,0,3,0,0,0,0,0,0,13,0,0,4,5,0,5,4,3,0,25,0,0,0,5,0,0,0,3,0,16,3,3,3,0,4,4,0,3,0,15,0,0,0,4,0,3,0,7,0,11,3,3,3,3,3,5,3,18,0,32,0,7,3,0,0,4,0,3,0,18,0,0,0,0,0,0,0,0,3,4,7,24,19,23,16,29,10,91,13,232
