POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6000,30,16,37,41,169,215,143,274,7,930,88,95,117,135,401,621,303,444,16,2217,27,44,91,52,118,143,85,134,0,683,30,106,159,99,92,58,43,61,7,650,24,61,59,45,212,181,73,92,4,752,15,70,58,42,50,45,28,43,3,349,10,11,12,12,21,16,18,49,3,153,14,86,131,65,38,42,21,55,13,457,3,4,8,11,12,14,6,20,25,100,235,491,668,498,1116,1332,716,1167,77,6291
POA6003,8,6,10,23,34,62,48,107,3,291,17,35,41,33,122,164,99,131,3,643,3,12,26,17,42,44,26,50,3,226,5,45,43,40,31,25,9,17,8,227,16,12,18,15,66,54,23,14,3,221,5,29,23,15,32,22,11,21,0,145,6,3,0,3,9,5,3,17,0,51,3,25,50,24,15,11,9,16,0,159,4,3,7,3,4,5,3,0,5,34,62,162,213,166,356,398,233,368,30,1997
POA6004,36,19,32,48,143,236,131,313,6,959,73,85,115,110,350,635,232,375,14,2001,25,28,88,31,126,124,58,132,15,623,18,90,143,77,87,77,29,38,16,578,20,39,50,49,199,168,68,73,3,665,10,63,47,45,66,66,16,50,0,370,9,7,17,8,24,18,16,35,10,138,13,77,135,45,47,52,20,44,9,435,9,9,4,6,14,18,9,16,22,112,220,407,641,430,1047,1398,575,1070,95,5888
POA6005,9,11,11,24,67,107,77,133,3,446,47,48,62,70,232,384,183,248,8,1272,6,12,27,16,46,55,38,68,3,278,9,66,45,49,60,39,16,21,7,306,7,31,19,35,105,104,42,36,0,374,3,37,25,26,39,21,22,22,0,198,11,6,8,8,9,9,13,21,3,73,6,35,65,22,15,20,11,13,4,188,0,3,0,0,4,10,4,7,19,56,99,248,264,249,572,746,394,570,49,3189
POA6006,15,24,14,32,87,176,130,244,3,729,55,138,157,175,291,419,207,312,15,1778,15,40,41,41,87,106,52,111,7,500,11,97,81,60,58,38,33,21,6,407,24,73,77,82,132,93,51,37,3,566,6,86,53,43,38,34,17,46,7,331,3,14,10,12,16,16,4,21,4,106,0,65,51,25,25,25,7,23,4,226,0,8,4,3,6,7,0,19,13,64,135,541,496,475,739,911,511,837,57,4705
POA6007,19,21,20,32,70,140,84,187,3,575,62,112,141,153,276,450,256,299,9,1753,5,28,31,25,66,83,29,79,3,355,12,65,78,59,60,35,14,25,7,357,18,40,47,45,112,95,42,38,0,439,8,66,27,26,32,37,18,35,3,258,3,7,6,11,17,10,12,22,0,81,9,49,39,28,23,19,9,9,3,185,3,0,0,3,7,13,7,8,3,45,137,392,393,379,658,888,466,703,36,4039
POA6008,28,75,61,79,118,280,192,386,5,1224,116,297,309,358,485,832,441,728,26,3584,8,39,27,36,79,118,55,114,0,482,31,176,85,87,82,56,34,29,10,580,27,130,99,87,145,164,69,68,6,789,20,158,81,52,33,51,28,53,7,477,5,6,4,7,7,19,6,18,0,75,11,90,60,46,37,22,9,20,6,309,4,14,12,9,13,17,5,19,24,111,241,979,745,757,994,1558,839,1426,88,7628
POA6009,26,95,65,86,106,250,140,455,8,1232,96,478,359,358,387,729,371,828,42,3638,15,63,36,30,56,60,38,42,6,340,35,324,123,87,42,38,15,28,23,725,29,207,146,105,105,109,38,64,13,822,33,268,83,63,41,55,19,51,15,621,5,39,19,8,11,9,3,18,0,117,12,182,53,23,17,7,15,17,12,338,5,14,9,14,8,22,6,21,24,120,273,1668,883,771,763,1282,638,1530,144,7951
POA6010,34,94,87,91,101,293,188,495,10,1393,92,370,333,336,353,649,330,691,22,3179,11,50,34,34,62,91,40,71,4,403,21,280,86,93,54,60,28,80,13,717,7,192,132,95,120,127,60,60,10,803,19,217,81,73,45,44,30,65,9,588,0,27,3,13,10,10,6,22,0,93,11,90,44,28,22,13,4,29,0,238,0,18,10,7,9,26,8,18,27,127,201,1339,817,767,782,1318,693,1531,88,7538
POA6011,23,60,50,82,67,193,95,335,9,913,69,219,185,191,194,408,207,463,8,1941,4,23,22,17,31,55,17,44,3,215,10,128,61,38,20,19,10,17,7,309,0,90,56,58,49,70,19,37,6,388,12,106,37,24,12,26,13,45,3,286,3,12,3,0,4,7,0,14,0,46,3,53,18,15,11,11,3,12,3,123,0,17,6,3,6,12,6,21,16,86,131,704,434,430,393,802,379,981,50,4312
POA6012,12,37,39,54,54,156,104,250,6,720,46,166,174,161,182,343,133,309,18,1531,17,29,22,26,38,65,29,61,8,300,24,117,81,59,39,30,8,23,9,397,13,103,75,49,94,60,28,29,3,458,6,104,44,33,37,27,28,27,0,321,3,12,7,9,3,6,13,13,0,62,6,65,42,32,24,17,10,18,3,218,0,3,3,4,8,7,3,9,19,59,126,649,495,430,489,725,352,740,61,4059
POA6014,41,71,87,99,163,392,242,526,17,1632,128,379,439,456,530,863,425,733,27,3978,32,47,59,57,149,178,97,145,5,771,39,283,147,150,113,90,40,38,8,909,39,196,168,154,233,213,83,85,18,1174,20,245,108,91,68,78,46,80,14,751,6,26,25,19,36,32,19,42,3,209,18,185,195,70,53,38,22,34,10,628,5,11,13,18,15,14,5,13,26,117,325,1443,1242,1102,1357,1892,985,1697,115,10168
POA6015,13,36,36,37,41,130,81,207,4,587,28,175,130,134,120,212,135,258,3,1191,6,19,17,14,23,37,11,29,3,162,5,118,27,28,3,14,12,15,6,228,3,75,74,46,49,39,13,28,7,335,15,112,35,24,12,22,6,27,10,250,0,8,5,6,3,6,0,6,0,32,3,40,7,3,3,10,3,12,0,90,6,14,3,3,0,7,3,7,15,60,81,594,336,298,254,476,266,579,44,2921
POA6016,12,14,41,50,97,182,100,218,3,721,88,154,182,197,288,427,218,316,13,1870,21,38,41,43,100,130,59,85,5,519,23,111,98,76,62,61,23,34,6,492,21,73,79,67,165,117,51,34,14,623,14,120,57,40,56,47,20,45,7,408,8,16,18,19,33,33,19,26,4,176,11,125,157,46,51,33,7,20,10,460,3,6,3,3,7,10,3,6,20,58,190,660,674,543,870,1035,493,793,72,5322
POA6017,3,4,11,12,51,47,39,42,9,214,18,35,27,39,129,131,56,66,3,502,8,12,14,24,75,82,45,40,7,300,9,42,47,52,67,27,16,20,5,281,8,12,32,32,108,77,24,24,4,328,11,22,48,29,38,22,14,10,0,188,0,10,9,17,31,18,18,30,3,138,7,51,85,38,48,24,6,24,6,292,0,0,3,0,8,9,3,3,5,30,68,182,279,241,549,440,209,272,42,2284
POA6018,68,106,108,155,333,644,454,863,17,2743,242,489,602,593,947,1479,736,1008,35,6126,83,141,130,172,364,556,293,512,36,2285,62,443,301,315,214,191,101,100,22,1749,76,362,333,345,563,477,195,183,23,2562,61,505,232,184,169,163,97,160,12,1590,28,58,44,51,66,77,60,127,10,518,39,282,127,111,93,114,46,126,26,966,7,28,21,25,17,46,18,30,63,253,668,2419,1901,1961,2758,3753,1986,3114,236,18797
POA6019,39,55,70,87,227,452,297,581,15,1837,126,288,328,365,604,878,481,678,27,3773,53,90,96,119,244,425,194,361,25,1609,48,253,185,189,146,148,96,111,11,1197,40,198,189,171,354,269,116,116,15,1465,33,261,125,123,118,127,54,111,5,953,11,27,29,26,47,41,41,114,0,332,23,156,109,74,57,71,36,97,11,633,6,15,13,8,18,28,15,26,21,146,383,1345,1153,1164,1812,2437,1326,2198,141,11944
POA6020,39,92,102,114,154,402,243,563,15,1728,133,362,415,369,399,665,313,497,23,3167,45,80,103,81,192,314,126,216,19,1171,34,263,149,133,65,121,61,62,14,896,44,276,240,236,235,231,80,96,11,1447,33,323,141,96,82,104,56,115,14,958,12,36,25,31,34,45,23,83,3,282,24,148,67,52,44,45,28,54,4,466,10,29,24,10,9,21,11,14,35,163,364,1614,1251,1114,1221,1946,934,1699,136,10273
POA6021,21,39,55,83,192,301,158,315,7,1173,85,163,210,180,475,583,241,299,17,2259,48,85,87,123,283,394,158,281,22,1479,20,175,161,141,134,101,41,56,10,839,46,188,199,179,360,268,111,94,20,1460,33,265,161,132,125,120,50,87,11,981,19,31,40,50,88,71,48,105,3,454,26,189,144,89,121,117,40,71,12,807,9,11,8,11,21,22,10,19,46,151,303,1143,1069,983,1795,1979,861,1319,149,9604
POA6022,5,9,17,12,28,71,29,68,0,243,29,57,61,73,97,126,74,93,4,610,23,28,35,33,87,83,52,77,4,417,7,46,36,44,34,27,19,20,0,249,18,35,44,51,109,59,30,18,0,359,6,65,27,27,22,21,13,11,0,201,3,13,11,18,22,27,10,19,0,114,7,46,26,26,13,25,13,22,0,176,0,0,4,3,3,7,4,6,18,44,102,298,272,287,411,442,233,338,34,2413
POA6023,31,54,54,55,125,255,180,341,7,1098,70,199,304,269,300,462,242,344,20,2214,39,61,55,89,173,246,106,197,13,977,38,200,134,111,72,63,48,55,15,726,27,174,173,169,235,160,63,64,5,1066,19,268,106,62,69,53,30,43,6,650,10,16,23,12,32,22,26,55,3,200,17,145,40,45,43,39,10,45,5,392,9,14,9,7,8,22,4,15,23,109,255,1130,895,823,1049,1316,712,1151,95,7427
POA6024,24,25,37,49,110,183,115,176,6,723,75,136,184,157,247,342,172,212,10,1543,38,60,69,88,212,301,116,185,17,1095,41,139,124,118,90,80,33,31,7,660,46,116,149,129,266,168,79,54,7,1012,20,177,108,67,65,69,27,41,8,581,16,25,19,27,47,63,38,64,7,307,13,112,76,61,79,54,30,55,11,498,12,7,14,9,15,19,5,6,23,106,286,800,775,708,1137,1274,619,834,91,6530
POA6025,47,72,86,117,256,467,294,644,14,2004,155,301,409,361,591,784,395,502,29,3532,103,148,150,209,457,636,307,515,39,2559,83,354,263,260,212,174,96,100,11,1558,73,310,340,342,469,396,141,136,15,2202,39,425,239,207,147,149,57,105,11,1378,28,57,45,54,128,93,58,163,7,632,46,299,141,139,145,120,72,108,17,1076,10,30,17,24,30,28,9,37,56,237,581,1979,1693,1706,2435,2844,1429,2306,200,15184
POA6026,34,38,58,95,177,316,196,453,13,1387,140,222,298,275,479,587,291,369,18,2677,56,98,104,133,306,463,209,308,22,1698,49,267,217,216,168,139,76,66,13,1207,70,231,313,314,436,316,142,130,6,1948,29,429,207,127,104,110,59,86,9,1156,31,45,33,29,85,67,50,107,7,454,25,265,108,89,67,91,27,68,7,746,5,15,3,12,19,29,6,21,28,126,434,1616,1336,1279,1834,2118,1054,1608,124,11397
POA6027,79,78,104,159,323,621,364,675,14,2416,180,406,459,508,881,991,453,683,41,4598,125,172,190,295,715,1004,420,724,72,3723,98,546,424,454,355,284,143,136,46,2479,102,362,456,436,807,561,212,202,38,3166,74,665,369,311,296,231,104,146,25,2218,57,88,49,79,192,132,111,261,17,988,70,440,232,215,220,252,85,190,34,1742,18,31,20,16,51,50,19,44,97,331,800,2789,2304,2472,3850,4116,1909,3047,370,21658
POA6028,40,45,51,90,215,420,231,480,16,1595,71,207,236,304,486,621,303,358,11,2595,72,86,93,159,335,547,242,393,40,1970,52,342,215,224,150,185,60,93,14,1333,57,228,265,274,411,357,95,124,19,1830,42,475,231,162,146,112,80,68,20,1330,19,46,22,33,92,60,53,131,8,465,33,273,107,110,120,96,45,83,11,873,11,11,10,20,23,39,18,27,30,189,398,1719,1246,1371,1972,2440,1112,1758,162,12184
POA6029,4,15,17,20,24,51,39,85,0,254,18,49,51,51,57,95,44,92,3,470,0,6,12,16,23,32,13,51,3,161,9,40,17,20,8,20,11,3,3,130,11,40,25,33,22,20,9,8,0,163,3,54,15,12,7,21,9,19,3,135,0,3,4,0,4,3,3,7,0,30,0,15,10,5,10,8,4,3,0,54,0,3,0,0,0,0,0,7,10,16,42,223,147,157,153,253,117,275,21,1404
POA6030,52,62,66,117,322,457,256,504,23,1857,109,201,240,308,590,638,262,378,25,2756,135,171,221,299,655,911,376,683,61,3508,96,470,337,419,344,265,137,147,40,2249,96,280,289,333,602,465,178,176,27,2443,58,588,313,279,275,206,86,114,16,1946,57,79,49,86,197,172,136,390,26,1187,94,472,253,253,268,249,120,235,47,1983,13,12,22,28,49,60,22,47,94,345,709,2333,1787,2120,3312,3409,1577,2669,366,18279
POA6031,13,19,25,35,151,198,121,182,7,758,46,69,112,169,285,297,142,157,14,1274,61,68,78,97,349,446,194,336,23,1651,56,181,141,211,169,130,55,67,24,1036,33,138,127,166,385,258,86,79,12,1281,31,244,127,110,146,93,39,51,11,846,25,31,25,40,97,95,72,168,14,570,40,176,107,119,125,96,49,84,12,821,7,10,5,12,27,17,10,16,40,139,318,932,750,957,1738,1628,767,1137,161,8383
POA6032,0,0,3,4,3,5,0,11,4,29,0,3,7,0,7,3,0,7,0,24,0,3,0,3,3,4,0,0,4,18,0,0,0,0,0,0,0,0,0,4,0,4,0,3,5,0,0,0,0,14,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,4,0,15,0,0,0,0,0,0,0,0,0,3,3,15,18,9,23,17,4,16,4,112
POA6033,0,4,3,3,5,6,0,16,4,52,0,4,7,5,6,8,0,6,0,28,0,6,0,0,5,7,0,7,0,34,0,3,3,0,0,0,0,3,0,15,0,8,4,3,4,3,3,0,3,27,0,4,8,0,0,3,0,0,0,15,0,3,0,0,3,3,0,6,0,17,0,6,3,4,4,4,0,0,0,23,0,0,0,0,3,0,0,0,0,3,5,34,28,22,27,34,9,34,10,212
POA6034,0,0,4,9,23,24,12,6,0,83,10,4,6,13,24,32,6,21,3,120,10,7,11,18,32,53,35,41,7,205,9,19,11,24,27,20,5,11,6,124,5,13,16,20,48,25,14,3,0,146,0,8,14,14,10,19,3,10,7,91,8,0,0,4,9,13,5,24,0,60,4,9,4,3,15,12,7,17,4,74,0,0,4,0,0,4,0,0,5,15,42,71,69,100,184,195,97,138,24,916
POA6035,11,12,10,14,60,73,41,82,6,306,17,37,58,41,105,118,37,72,4,484,38,32,45,78,151,186,66,193,12,809,26,92,67,78,61,63,24,29,7,460,20,49,55,63,124,90,32,33,4,461,15,86,48,46,61,40,17,26,5,351,28,12,12,21,39,28,32,177,7,341,23,69,62,64,73,57,32,76,10,472,0,0,4,0,9,10,0,5,17,54,177,391,358,401,683,669,283,690,77,3743
POA6036,21,13,16,36,128,174,104,178,0,671,64,63,97,125,265,231,111,118,7,1073,65,79,58,87,281,395,174,302,27,1465,49,161,138,184,160,128,52,60,15,955,37,80,110,134,289,170,73,58,0,951,29,220,131,118,120,95,34,54,15,815,33,31,23,33,81,71,68,169,8,517,30,154,86,96,105,81,56,106,14,731,4,5,9,12,16,25,3,11,23,103,322,798,667,821,1439,1375,680,1056,116,7276
POA6037,3,6,4,12,16,13,10,27,0,95,3,13,21,21,15,18,4,24,3,125,14,20,20,21,45,55,36,70,10,283,9,25,12,23,15,8,5,8,5,119,4,23,21,17,24,29,8,7,0,137,7,34,16,12,9,11,3,0,0,101,13,3,0,5,11,16,15,63,3,129,8,26,21,18,35,25,12,28,4,170,0,3,0,0,0,5,0,3,8,24,62,139,123,140,170,184,91,231,36,1179
POA6038,8,5,13,14,55,76,55,65,0,299,22,28,35,50,132,106,56,76,5,512,36,25,26,34,130,177,86,145,7,673,27,70,52,78,90,73,32,36,4,467,22,25,59,51,153,98,37,31,3,479,11,67,39,37,63,41,18,24,3,307,15,4,12,13,32,19,20,78,5,199,11,58,43,33,33,41,17,63,3,293,0,0,0,6,6,9,0,3,15,36,150,283,283,328,692,648,316,523,47,3263
POA6041,0,4,3,5,3,22,3,14,0,58,3,3,7,3,4,6,4,8,3,44,11,6,13,11,24,16,7,17,3,104,3,16,7,8,9,0,0,3,0,38,3,12,11,13,6,10,0,0,0,59,0,9,8,6,4,4,3,0,0,42,3,3,3,4,4,3,12,30,3,68,3,25,14,6,16,16,5,14,3,109,0,0,0,0,0,0,0,4,4,11,22,77,66,54,77,79,35,100,16,526
POA6042,0,7,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,3,0,3,0,26
POA6043,0,6,0,4,0,6,0,3,0,20,4,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,0,10,3,3,4,3,0,4,0,3,0,17,0,0,0,0,0,0,0,0,0,3,9,15,13,14,3,10,3,19,5,80
POA6044,7,0,3,3,10,3,4,45,3,79,3,0,7,3,6,12,3,7,0,41,8,6,8,4,9,14,8,27,0,73,5,14,4,6,3,3,0,3,3,41,0,12,15,3,3,6,0,0,3,47,0,8,3,4,4,3,0,3,0,28,3,0,3,0,0,3,3,29,3,49,10,13,6,14,10,14,36,23,3,125,0,0,0,0,0,0,0,0,0,4,31,56,44,44,34,57,53,136,18,485
POA6050,26,60,61,77,153,278,167,408,15,1245,94,258,262,305,441,608,331,562,25,2880,22,50,56,66,124,153,66,141,9,688,29,200,141,113,83,76,35,27,19,724,28,151,136,114,194,175,66,80,7,952,21,203,109,90,97,60,29,63,9,682,8,25,14,16,31,31,10,40,0,170,14,100,90,39,42,34,17,17,10,353,5,4,10,6,18,17,7,8,21,96,244,1046,878,823,1180,1421,732,1344,117,7788
POA6051,30,29,37,57,130,205,141,217,9,864,85,131,150,180,440,521,246,325,18,2096,33,32,65,57,183,199,103,186,6,870,25,120,155,141,137,105,56,64,12,803,32,80,72,75,265,210,87,70,12,896,10,108,87,74,87,64,31,48,11,514,19,23,33,39,82,51,30,104,10,392,15,103,121,72,85,63,35,49,7,556,3,6,3,3,10,12,3,5,22,78,251,639,715,705,1434,1445,722,1057,99,7064
POA6052,15,13,37,52,124,190,136,250,7,814,78,138,182,184,312,382,199,292,13,1774,32,40,60,50,126,166,80,111,8,677,26,123,95,82,70,78,29,33,0,537,28,74,111,107,203,154,58,47,3,793,16,161,63,59,65,64,24,50,7,514,8,16,19,15,25,27,22,38,0,177,11,101,65,36,32,40,25,35,3,349,3,3,0,9,18,13,8,14,11,85,220,678,628,591,982,1119,585,867,51,5722
POA6053,25,32,43,58,168,227,148,258,5,958,65,161,191,220,434,466,230,330,12,2114,34,47,66,80,201,229,122,220,16,1021,20,158,115,126,136,103,41,55,10,769,39,106,115,96,279,204,76,95,7,1016,12,169,81,69,72,61,37,46,8,562,10,26,29,37,72,52,38,69,11,334,18,126,115,60,58,61,25,47,6,516,0,5,10,11,14,24,16,13,28,129,224,826,767,764,1442,1434,735,1141,102,7420
POA6054,26,30,51,57,145,213,147,259,3,939,102,158,171,218,406,421,232,274,14,1991,56,101,100,110,329,335,168,280,18,1502,61,189,170,215,203,138,55,86,23,1133,42,124,154,179,401,296,105,93,8,1406,19,216,108,106,123,99,30,52,16,776,19,32,37,69,139,107,80,151,23,661,35,208,133,127,164,110,43,81,18,917,3,22,8,11,32,14,12,12,44,151,360,1079,940,1097,1943,1735,877,1283,174,9481
POA6055,46,43,43,71,230,253,157,348,4,1200,78,121,138,161,434,452,222,275,16,1901,50,84,81,121,373,417,231,403,38,1797,61,167,181,236,238,151,84,107,17,1241,68,141,201,168,432,350,129,129,13,1626,19,206,125,122,155,109,38,68,11,860,54,29,45,74,205,150,107,273,18,956,38,171,115,104,169,104,60,113,21,895,14,12,3,8,25,20,13,27,46,164,427,970,940,1058,2258,2010,1042,1744,194,10641
POA6056,44,63,79,129,283,377,245,545,16,1782,97,207,229,298,547,511,260,345,20,2506,126,176,157,227,664,705,378,632,62,3116,95,338,322,381,346,258,118,153,29,2045,95,241,301,326,703,499,222,184,17,2592,62,477,242,252,286,219,90,118,23,1755,85,85,83,117,360,295,242,518,36,1832,79,421,254,291,331,249,144,186,33,1983,13,19,13,18,52,42,12,31,100,316,698,2020,1683,2027,3574,3156,1706,2712,339,17918
POA6057,25,24,24,41,117,156,116,266,9,771,40,83,94,116,210,244,108,141,10,1048,51,60,56,92,301,390,206,328,29,1523,35,151,116,158,156,108,43,60,11,831,59,131,144,178,352,304,116,102,13,1386,18,222,90,117,104,88,37,67,13,765,48,41,39,63,181,179,129,322,15,1015,21,153,98,114,102,105,60,86,10,750,8,14,8,10,25,16,4,21,24,121,301,866,671,895,1546,1601,819,1392,129,8219
POA6058,11,17,7,28,105,117,82,123,3,493,39,43,41,71,154,156,64,95,6,667,39,52,67,73,253,290,144,275,24,1204,24,93,83,135,133,64,33,56,17,645,42,72,86,116,283,204,88,63,9,968,18,163,108,70,82,64,29,28,9,575,33,44,36,44,153,139,107,189,13,750,19,139,86,103,105,92,29,80,9,669,14,8,4,7,19,9,7,24,36,126,239,624,522,651,1287,1127,592,938,118,6098
POA6059,29,52,61,78,236,329,190,456,15,1435,110,229,265,237,489,592,286,397,24,2631,54,110,102,139,297,339,158,282,36,1519,43,231,205,203,174,96,70,76,18,1125,59,218,238,229,408,292,94,93,15,1646,41,381,166,140,134,130,50,125,14,1177,23,46,39,57,109,96,58,111,15,547,40,224,145,119,129,107,38,84,14,908,11,26,11,5,32,28,12,10,47,174,397,1521,1230,1204,2012,2011,954,1649,191,11159
POA6060,37,32,43,91,249,357,213,379,12,1415,135,228,225,318,722,840,398,499,25,3389,38,70,112,121,361,446,210,281,13,1662,36,258,224,210,198,140,71,114,17,1268,65,157,192,186,480,347,151,126,21,1734,27,236,160,141,187,124,60,87,9,1035,21,40,48,56,123,98,60,136,8,585,27,220,218,147,137,102,42,91,24,1018,8,8,3,5,33,27,6,30,45,166,390,1248,1235,1282,2485,2490,1227,1746,176,12275
POA6061,29,35,59,72,280,294,163,245,13,1195,100,163,157,211,667,640,265,271,24,2491,76,143,196,244,726,648,304,399,48,2783,91,328,475,417,431,266,118,194,61,2373,71,147,176,172,702,405,142,137,27,1975,48,345,289,225,240,164,73,103,26,1512,38,104,103,154,342,269,156,286,37,1485,53,504,467,343,470,350,119,185,69,2562,10,26,31,29,67,42,13,19,119,351,500,1799,1942,1882,3926,3072,1350,1837,417,16723
POA6062,46,64,60,104,279,359,200,387,17,1514,95,222,213,257,636,672,318,355,21,2798,58,150,179,195,647,660,305,440,52,2671,67,331,303,319,257,187,85,123,26,1701,76,256,283,299,622,438,150,143,32,2291,38,438,269,197,217,171,72,119,36,1558,27,63,74,83,235,188,104,237,23,1034,42,318,271,209,289,211,73,115,36,1567,16,19,23,24,47,36,19,22,88,292,457,1865,1667,1691,3223,2934,1323,1932,331,15422
POA6063,10,22,21,36,115,99,64,111,7,491,23,53,61,61,176,197,61,91,15,746,37,68,64,73,292,289,137,204,28,1194,22,133,128,159,156,80,30,64,14,779,24,78,97,125,253,160,66,69,7,876,13,212,124,86,116,82,30,34,15,724,18,34,41,55,151,118,71,135,9,632,21,174,114,130,196,122,36,84,14,890,3,12,6,11,18,20,5,13,48,133,177,788,661,737,1480,1168,498,800,153,6464
POA6064,20,44,40,83,202,229,132,228,8,985,67,125,123,173,343,312,134,168,19,1481,69,139,148,190,581,592,309,333,60,2429,63,328,266,288,289,187,63,141,38,1669,64,149,193,212,540,309,120,105,18,1708,54,398,217,196,220,140,64,81,27,1398,38,78,80,111,325,222,125,235,26,1240,63,416,272,317,401,295,101,173,51,2106,12,21,15,11,54,41,18,21,103,297,458,1695,1364,1592,2954,2339,1060,1484,354,13299
POA6065,77,82,138,215,600,832,484,972,41,3443,214,409,464,608,1170,1322,560,770,34,5563,160,275,258,397,1122,1406,661,1113,81,5484,152,641,514,565,536,444,187,242,37,3330,201,531,643,644,1216,886,344,313,34,4805,81,940,482,361,434,370,184,246,45,3133,90,109,118,157,362,337,220,540,37,1968,107,654,384,393,446,391,171,299,42,2878,19,42,21,33,80,104,27,61,121,511,1089,3685,3020,3376,5960,6101,2839,4556,484,31113
POA6066,12,46,33,50,144,206,111,217,4,827,53,105,90,106,286,274,110,140,15,1178,47,81,85,136,392,381,186,270,32,1614,45,188,184,209,186,112,37,67,21,1050,46,128,151,204,389,248,105,82,17,1361,44,326,171,154,123,106,55,75,19,1064,29,38,53,58,177,145,88,175,14,774,38,250,139,147,214,114,49,96,14,1058,7,11,7,5,28,24,14,18,46,156,315,1152,912,1065,1947,1601,759,1147,185,9088
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
POA6069,54,59,64,126,345,497,298,601,15,2067,113,172,239,259,554,589,273,419,28,2642,122,140,132,184,679,763,441,762,34,3250,101,394,317,406,412,310,158,210,30,2340,107,270,313,361,819,606,227,231,23,2962,65,435,283,270,321,240,113,166,21,1917,84,58,54,124,355,265,216,611,21,1798,54,370,184,238,264,213,89,232,30,1681,15,22,18,21,42,46,14,41,53,282,712,1936,1613,1972,3791,3533,1845,3280,260,18938
POA6070,5,13,15,12,38,55,42,92,3,281,19,78,78,80,88,120,58,84,3,606,7,21,9,13,31,42,20,51,4,197,5,51,26,23,21,13,11,11,0,160,6,24,17,29,47,36,16,18,3,194,8,45,33,15,11,13,3,12,0,136,0,6,3,4,7,3,4,20,0,51,3,34,11,3,11,4,3,12,0,80,0,0,0,3,0,5,3,10,9,26,47,261,193,181,257,298,162,302,23,1727
